date,bagsit_river,bancal_river,bayaoas_river,bucao_river,bulsa_river_ds,bulsa_river_us,camiling_river_ds,camiling_river_us,dapya_river,dumoloc_river,lawis_river,malabobo_river,maloma_river,mapita_river,masinloc_river,pmb1,pmb2,pmb3,pmb4,sc1,sc2,sc3,sc4,sc5,SC5b,sc6,sc7,salasa_river
1993-12-28,,589.3511236735715,2163.464721876332,4100.432576913896,2818.671718860099,5021.963939121306,1173.0584879387004,7343.887475724516,286.0121199143202,1270.0862075522573,9407.62605401213,785.7882937058615,74.3134976724252,379.921971028033,500.4054131743299,33.0788877051646,88.62217829677208,74.0869899024186,97.37262434796754,116.42601757864587,180.23707209135276,115.12748965835752,60.82122478094801,121.44793149410643,,659.8975479469043,249.01906601690365,
1993-12-29,,606.1762324951782,2279.3478326270206,4177.517258331821,2822.055792630955,5034.443393867227,1206.8617817123557,7572.12695751056,296.69170857017866,1337.9847962398217,9926.381034016742,827.2444027125189,76.58865541713706,400.25942115820857,529.6721540570279,34.87890700082211,93.43775983198778,78.11227022891057,102.66679111105088,122.55579206094838,189.73664493003164,121.19993755854775,64.02970971125873,127.8650652424686,,694.7868749465783,262.2061734574022,
1993-12-30,,,2395.123104986187,,,,,,,1405.7871690278746,10376.86717230239,868.5032540021002,,420.5747988680496,546.4985268518429,36.56530237363099,97.9851418601544,81.91588333738406,107.6499548235543,128.65320759899967,199.18866265869687,127.24314211012455,67.22285628077816,134.25417254995241,,729.5292303324931,275.34312535660825,
1993-12-31,,,2511.0062157368766,,,,,,,1473.685757715439,10895.622152307003,909.9593630087578,,440.9122489982252,575.7652677345409,38.36532166928851,102.80072339537011,85.94116366387603,112.94412158663764,134.78298208130218,208.68823549737576,133.3155900103148,70.43134121108889,140.6713062983146,,764.418557332167,288.5302327971068,
1994-01-01,,707.1268854248183,2626.457972921474,4640.025346839376,2842.360235256087,5109.320122342755,1308.2716630333214,8256.845402868692,360.7692405053297,1541.1994828049583,11550.914815749542,950.626441147111,90.23960188540828,461.16140944706206,629.9127447930055,40.392588810643275,108.15270394468399,90.40977842640493,118.86029445088074,140.78332078659977,217.99758789600008,139.27106451605133,73.57847269823448,146.97633428316325,,798.7199978768037,301.516718072435,
1994-01-02,,707.1268854248183,2395.0152665946644,4640.025346839376,2842.360235256087,5109.320122342755,1240.665075486011,7800.366439296603,360.7692405053297,1405.6909531283634,10558.917416886292,868.3059962850242,90.23960188540828,420.5527264477149,579.6728417528649,36.86829950122733,98.70034054561863,82.50699591876666,108.47929629176737,128.62084865474847,199.14110754868324,127.21389876151113,67.20751791998688,134.22614610907402,,729.3822587187337,275.2929698153156,
1994-01-03,,654.1580072393234,2047.3659343425973,4130.622304804658,2317.3952154276535,4196.730783995752,1035.575722974814,6525.4321626043575,343.923577689913,1201.9951870656707,9116.433879737393,743.9376692650519,84.10187247678817,359.5403760571881,512.6065659179093,31.65761481900251,84.70059511838664,70.80060030265489,93.11513442015055,110.2315252078409,170.6423890326466,108.99655506094042,57.58206312905472,114.9747448639875,,624.7142777197117,235.73164749381988,
1994-01-04,,721.4584425257501,2047.3659343425973,4438.961030476361,2330.9315105110754,4246.648602979437,1035.575722974814,6525.4321626043575,386.64193231334707,1201.9951870656707,9207.459002029342,743.9376692650519,93.20250345563565,359.5403760571881,529.1937233684203,31.809113382800675,85.05819446111877,71.09615659334618,93.52980515425708,110.2315252078409,170.6423890326466,108.99655506094042,57.58206312905472,114.9747448639875,,624.7142777197117,235.73164749381988,
1994-01-05,,687.8082248825367,2047.1502575595516,4284.79166764051,2324.1633629693647,4221.689693487595,1035.575722974814,6525.4321626043575,365.28275500163005,1201.8027552666483,9161.946440883366,743.5431538308999,88.6521879662119,359.4962312165187,520.9001446431647,31.733364100901596,84.87939478975271,70.94837844800054,93.32246978720381,110.16680731933843,170.54727881261934,108.93806836371357,57.55138640747214,114.91869198223075,,624.4203344921931,235.63133641123468,
1994-01-06,,1226.2117071739508,2047.1502575595516,6751.5014730141365,2432.4537236367373,4621.032245357076,1035.575722974814,6525.4321626043575,707.0295919891023,1201.8027552666483,9890.14741921897,743.5431538308999,161.4572357969917,359.4962312165187,653.5974042472526,32.94535261128696,87.74018953160967,73.31282877353094,96.63983566005608,110.16680731933843,170.54727881261934,108.93806836371357,57.55138640747214,114.91869198223075,,624.4203344921931,235.63133641123468,
